Date,Time,Running
2019-10-16,11:02:02,True
2019-10-16,11:02:33,True
2019-10-16,11:03:34,True
2019-10-16,11:04:34,True
2019-10-16,11:05:34,True
2019-10-16,11:06:35,True
2019-10-16,11:07:36,True
2019-10-16,11:08:36,True
2019-10-16,11:09:36,True
2019-10-16,11:10:37,True
2019-10-16,11:11:37,True
2019-10-16,11:12:37,True
2019-10-16,11:13:38,True
2019-10-16,11:14:38,False
2019-10-16,11:15:38,False
2019-10-16,11:16:39,False
2019-10-16,11:17:39,False
2019-10-16,11:18:39,False
2019-10-16,11:19:40,False
2019-10-16,11:20:40,False
2019-10-16,11:21:41,False
2019-10-16,11:22:41,False
2019-10-16,11:23:42,False
2019-10-16,11:24:42,False
2019-10-16,11:25:42,False
2019-10-16,11:26:43,False
2019-10-16,11:27:43,False
2019-10-16,11:28:43,False
2019-10-16,11:29:44,False
2019-10-16,11:30:44,False
2019-10-16,11:31:45,False
2019-10-16,11:32:45,False
2019-10-16,11:33:46,False
2019-10-16,11:34:46,False
2019-10-16,11:35:46,False
2019-10-16,11:36:47,False
2019-10-16,11:37:47,False
2019-10-16,11:38:48,False
2019-10-16,11:39:48,False
2019-10-16,11:40:48,False
2019-10-16,11:41:49,False
2019-10-16,11:42:49,False
2019-10-16,11:43:49,False
2019-10-16,11:44:50,False
2019-10-16,11:45:50,False
2019-10-16,11:46:50,False
2019-10-16,11:47:51,False
2019-10-16,11:48:51,False
2019-10-16,11:49:51,False
2019-10-16,11:50:52,False
2019-10-16,11:51:52,False
2019-10-16,11:52:53,False
2019-10-16,11:53:53,False
2019-10-16,11:54:54,False
2019-10-16,11:55:54,False
2019-10-16,12:02:01,False
2019-10-16,12:03:02,False
2019-10-16,12:04:03,False
